CUPOM;DATA;PLACA;POSTO;KM ATUAL;KM FINAL;DESCRIÇÃO DO ABASTECIMENTO;CONSUMO;DESCONTO;VALOR UNIT;CUSTO TOTAL;C/ DESC;KM Rodados ;KM/Litro;;;;;;;;;;;;
Ajuste M.;23/01/2023;QQM 5087;;225762;;DIESEL;67,50;;;R$ 0,00;R$ 0,00;-685225,00;-10151,48148;;;;;;;;;;;;
158510;23/01/2023;QQM 5087;TATITA FERNÃO DIAS;226276;;DIESEL;66,30;;6,29;R$ 417,03;R$ 6,29;514,00;7,75;;;;;;;;;;;;
158449;23/01/2023;QWS 8608;TATITA FERNÃO DIAS;203732;;DIESEL;119,25;;6,29;750,08;R$ 6,29;105643,00;885,90;;;;;;;;;;;;
Ajuste M.;24/01/2023;BPQ 3I53;;99695;;DIESEL;32,50;;;R$ 0,00;R$ 0,00;-754883,00;-23227,17;;;;;;;;;;;;
158680;24/01/2023;BPQ 3I53;TATITA FERNÃO DIAS;99961;;DIESEL;33,01;;6,29;R$ 207,63;R$ 6,29;266,00;8,06;;;;;;;;;;;;
158580;24/01/2023;CMR 5893;TATITA FERNÃO DIAS;869524;;DIESEL;164,83;;6,19;R$ 1.020,30;R$ 6,19;2300,00;13,95;;;;;;;;;;;;
158604;24/01/2023;HOB 1G50;TATITA FERNÃO DIAS;644604;;DIESEL;131,20;;6,19;812,13;R$ 6,19;546795,00;4167,64;;;;;;;;;;;;
36904;24/01/2023;PZA 3995;ULTRAMARINO;280043;;GASOLINA;23,99;;4,84;R$ 116,11;R$ 4,84;-364561,00;-15196,37;;;;;;;;;;;;
37114;24/01/2023;PZA 3995;ULTRAMARINO;280338;;GASOLINA;23,89;;4,84;R$ 115,63;R$ 4,84;295,00;12,35;;;;;;;;;;;;
158583;24/01/2023;PZE 8684;TATITA FERNÃO DIAS;343867;;DIESEL;83,92;;6,29;527,86;R$ 6,29;-566489,00;-6750,27;;;;;;;;;;;;
264867;24/01/2023;RMF 8H75;POSTO ZÉ RAMOS;117538;;GASOLINA;39,79;;4,99;R$ 198,55;R$ 4,99;-248833,00;-6253,66;;;;;;;;;;;;
Ajuste M.;24/01/2023;RMF 8H75;;118040;;GASOLINA;38,52;;;R$ 0,00;R$ 0,00;-108236,00;-2809,87;;;;;;;;;;;;
Ajuste M.;25/01/2023;AXS 9G25;;855319;;DIESEL;325,00;;;R$ 0,00;R$ 0,00;520692,00;1602,129231;;;;;;;;;;;;
284420;25/01/2023;BPQ 3I53;BEIRA MINHO;100246;;DIESEL;34,32;10,3;6,69;219,30;R$ 6,39;551,00;16,05;;;;;;;;;;;;
594149;25/01/2023;CPN 1798;DOM PEDRO POUSO ALEGRE;586354;;DIESEL;109,68;;6,09;667,95;R$ 6,09;411858,00;3755,09;;;;;;;;;;;;
Ajuste M.;25/01/2023;FZG 4F66;;367123;;DIESEL;46,32;;;R$ 0,00;R$ 0,00;163806,00;3536,40;;;;;;;;;;;;
Ajuste M.;25/01/2023;FZG 4F66;;367563;;DIESEL;50,12;;;R$ 0,00;R$ 0,00;440,00;8,78;;;;;;;;;;;;
158789;25/01/2023;FZG 4F66;TATITA FERNÃO DIAS;367891;;DIESEL;38,49;;6,29;R$ 242,10;R$ 6,29;328,00;8,52;;;;;;;;;;;;
222989;25/01/2023;PZA 3995;ULTRAMARINO;280827;;GASOLINA;32,24;;4,99;R$ 160,88;R$ 4,99;163289,00;5064,64;;;;;;;;;;;;
37412;25/01/2023;QWS 8608;ULTRAMARINO;204315;;DIESEL;129,59;12,96;6,18;787,91;R$ 6,08;29819,00;230,10;;;;;;;;;;;;
265101;25/01/2023;RMF 8H75;POSTO ZÉ RAMOS;118573;;GASOLINA;41,25;;5,29;R$ 218,21;R$ 5,29;-85742,00;-2078,59;;;;;;;;;;;;
Ajuste M.;26/01/2023;BPQ 3I53;;100492;;DIESEL;33,50;;;R$ 0,00;R$ 0,00;-179846,00;-5368,54;;;;;;;;;;;;
285152;26/01/2023;FZG 4F66;BEIRA MINHO;368156;;DIESEL;35,27;10,58;6,69;225,38;R$ 6,39;267910,00;7595,97;;;;;;;;;;;;
37823;26/01/2023;OQG 0668;ULTRAMARINO;912448;;ARLA;35,00;;3,49;122,15;R$ 3,49;;;;;;;;;;;;;;
